,Chain,Time_Between_Disturbances,Centroid
0,storm -> biotic-dieback,0.4986301369863014,POINT (845582.3844570471 6965702.574712569)
0,storm -> biotic-dieback,0.4986301369863014,POINT (845531.1864318061 6965589.926833266)
0,storm -> biotic-dieback,0.4986301369863014,POINT (845505.5865790808 6965533.603059947)
0,storm -> biotic-dieback,0.0,POINT (845766.0011272317 6965616.323051366)
0,storm -> biotic-dieback,0.4986301369863014,POINT (845684.1440227105 6965319.7241109805)
0,storm -> biotic-dieback,0.0,POINT (837640.2363932638 6965031.742910188)
0,storm -> biotic-dieback,0.0,POINT (837501.9523499119 6965124.040462498)
0,storm -> biotic-dieback,0.0,POINT (846167.7070370631 6965244.6679117335)
0,storm -> biotic-dieback,0.0,POINT (848418.4840743034 6964784.398544378)
0,storm -> biotic-dieback,1.4986301369863013,POINT (833803.9543864786 6964194.325542178)
0,biotic-dieback -> biotic-mortality,1.989041095890411,POINT (807527.9940148946 6963614.692689388)
0,storm -> biotic-dieback,1.4986301369863013,POINT (846413.5157805292 6964558.458456669)
0,storm -> biotic-dieback,0.4986301369863014,POINT (835707.3232895033 6964035.654423011)
0,storm -> biotic-dieback,0.0,POINT (665027.5745934164 6962461.059530306)
0,storm -> biotic-dieback,1.0,POINT (800963.3238575412 6963042.954988786)
0,fire -> biotic-dieback,1.0,POINT (514255.16197129927 6964749.24104467)
0,storm -> biotic-dieback,0.0,POINT (815217.9677885787 6962279.318421121)
0,biotic-dieback -> fire,2.5013698630136987,POINT (822692.0877905356 6961892.77792018)
0,storm -> biotic-dieback,0.5013698630136987,POINT (801229.8506430994 6961525.2771020755)
0,biotic-dieback -> biotic-mortality,0.4931506849315068,POINT (629381.0153627937 6960299.286749526)
0,storm -> biotic-dieback,0.0,POINT (848443.6284892053 6960014.852710397)
0,storm -> biotic-dieback,0.0,POINT (849258.0264508188 6959481.460315527)
0,storm -> biotic-dieback,0.0,POINT (795200.4496419718 6957568.268722791)
0,biotic-dieback -> biotic-mortality,0.0,POINT (855754.0723367609 6958363.764994896)
0,storm -> biotic-dieback,0.5013698630136987,POINT (792207.444521738 6956903.676534962)
0,storm -> biotic-dieback,0.0,POINT (855767.3884389898 6958243.516911786)
0,biotic-dieback -> fire,5.002739726027397,POINT (815833.5092815327 6956748.156698488)
0,storm -> biotic-dieback,0.0,POINT (596310.8630014833 6956497.561853785)
0,storm -> biotic-dieback,1.5013698630136987,POINT (800453.9127074805 6956496.001477539)
0,biotic-dieback -> fire,1.0,POINT (817157.4781233385 6956530.32734313)
0,biotic-dieback -> fire,1.0,POINT (817185.1155587214 6956503.066722698)
0,biotic-dieback -> fire,1.0,POINT (817212.7532546243 6956475.806287217)
0,biotic-dieback -> biotic-mortality,1.0,POINT (596571.7161880265 6956185.97826126)
0,biotic-dieback -> biotic-mortality,1.5013698630136987,POINT (753616.3255162193 6954994.091167557)
0,biotic-dieback -> fire,2.0,POINT (819415.7957530378 6955836.950053635)
0,storm -> biotic-dieback,0.0,POINT (864064.1069220783 6956918.825783145)
0,storm -> biotic-dieback,0.0,POINT (864551.1953876009 6956506.400021304)
0,biotic-dieback -> biotic-mortality,1.0,POINT (803389.0753616268 6954444.022383004)
0,storm -> biotic-dieback,0.0,POINT (861265.2958176569 6955590.505481391)
0,storm -> biotic-dieback,1.0,POINT (835294.7870864567 6954858.685432466)
0,storm -> biotic-dieback,1.0,POINT (835296.4373745207 6954789.1492335005)
0,storm -> biotic-dieback,0.0,POINT (816621.7889257884 6953766.473149798)
0,storm -> biotic-dieback,0.0,POINT (734262.0981804252 6951329.310233004)
0,storm -> biotic-dieback,0.0,POINT (700667.371106483 6950766.403798238)
0,storm -> biotic-dieback,0.0,POINT (735490.6539652243 6949809.589328419)
0,biotic-dieback -> biotic-mortality,0.0,POINT (734515.6106013922 6949727.097806763)
0,storm -> biotic-dieback,2.0,POINT (638983.8584761613 6949891.160928656)
0,storm -> biotic-dieback,0.0,POINT (861908.4925415919 6950643.948814097)
0,storm -> biotic-dieback,0.0,POINT (816239.7168665759 6949054.759028033)
0,storm -> biotic-dieback,1.0,POINT (379289.18860636966 6956819.349239048)
0,fire -> biotic-dieback,3.0027397260273974,POINT (733921.6698636053 6947831.673727134)
1,biotic-dieback -> biotic-mortality,1.0,POINT (733921.6698636053 6947831.673727134)
0,storm -> biotic-dieback,0.0,POINT (836889.8585408003 6949344.770497365)
0,storm -> biotic-dieback,0.4986301369863014,POINT (818734.4985451506 6948840.737471627)
