,year,geometry,class,tree_type,essence,dataset
17,2018,"POLYGON ((246039.96469801047 6744293.934172457, 246069.86787418113 6744296.926585173, 246067.0229296101 6744326.693524031, 246096.92610593396 6744329.685933671, 246094.0811489385 6744359.452877905, 246123.9843254165 6744362.445284471, 246129.67421446135 6744302.911382495, 246159.57737857115 6744305.903767101, 246162.4222940231 6744276.13680844, 246132.5191340865 6744273.144430124, 246135.36403711425 6744243.377476836, 246105.4608773305 6744240.385095448, 246108.30576793308 6744210.618147528, 246078.40260830126 6744207.625763066, 246072.7128021532 6744267.159645393, 246042.80963015556 6744264.167238971, 246039.96469801047 6744293.934172457))",Other,Mixed,"mixed,broadleaf",senfseidl
18,2018,"POLYGON ((246123.9843254165 6744362.445284471, 246121.13935599657 6744392.212234081, 246151.04253263026 6744395.20463757, 246153.88749787473 6744365.437681666, 246123.9843254165 6744362.445284471))",Other,Mixed,"mixed,broadleaf",senfseidl
19,2018,"POLYGON ((244010.83507522714 6744361.319745602, 244070.6420380993 6744367.305930077, 244073.48739087716 6744337.539414392, 244103.3908620979 6744340.532486279, 244106.2361940762 6744310.7659633625, 244166.04311608744 6744316.752066436, 244168.8884230996 6744286.985529986, 244198.79187389085 6744289.978561176, 244204.482429691 6744230.445472885, 244084.8686356736 6744218.473342396, 244087.71390529512 6744188.70682208, 243998.00352994417 6744179.72764482, 243983.77695302613 6744328.560142553, 244013.68043634144 6744331.55324253, 244010.83507522714 6744361.319745602))",Other,Conifer,"conifers,maritime pine",senfseidl
20,2018,"POLYGON ((244279.9662811748 6744388.257280781, 244250.0628299694 6744385.264258772, 244255.75346887222 6744325.731150821, 244315.560350576 6744331.717160258, 244318.4056367476 6744301.950592286, 244288.50220207928 6744298.957598552, 244291.34747579112 6744269.191035959, 244231.54060269817 6744263.205033012, 244228.6953206507 6744292.971582996, 244198.79187389085 6744289.978561176, 244193.1012515726 6744349.511645757, 244223.0047066692 6744352.504680188, 244217.31402617035 6744412.0377736855, 244187.41056273528 6744409.044726641, 244184.5651933715 6744438.811265699, 244154.6617217363 6744435.818202987, 244151.8163315716 6744465.584734815, 244092.00936786964 6744459.59856869, 244089.16395273322 6744489.365086987, 244119.06744076998 6744492.358181036, 244116.22201317176 6744522.124704719, 244146.12550134922 6744525.11779571, 244143.280061291 6744554.88432478, 244173.18354960968 6744557.877412712, 244176.02898549638 6744528.110877342, 244265.73941375967 6744537.09006604, 244268.58482050087 6744507.323510829, 244298.48828435817 6744510.316548696, 244301.33367029869 6744480.549986261, 244271.43021061318 6744477.5569547, 244274.27558409586 6744447.790397649, 244304.17903961084 6744450.783422905, 244307.0243922943 6744421.016858627, 244277.1209409497 6744418.023839678, 244279.9662811748 6744388.257280781))",Other,Mixed,"mixed,maritime pine",senfseidl
21,2018,"POLYGON ((244361.14057758218 6744486.536021287, 244355.44980575872 6744546.069170457, 244445.16016149923 6744555.048190591, 244450.85090829036 6744495.515003592, 244361.14057758218 6744486.536021287))",Other,Mixed,"maritime pine,broadleaf",senfseidl
22,2018,"POLYGON ((242495.73630664177 6744420.016251026, 242465.83258819964 6744417.022632524, 242468.67827830662 6744387.256457758, 242378.96711123164 6744378.275565041, 242373.27568937378 6744437.807875754, 242403.17942410038 6744440.8015286485, 242400.33369234652 6744470.567688929, 242460.1411580103 6744476.55497927, 242462.98688143428 6744446.788806362, 242492.89060404128 6744449.782431179, 242495.73630664177 6744420.016251026))",Other,Conifer,maritime pine,senfseidl
23,2018,"POLYGON ((242756.33254555083 6744536.2571045365, 242786.23623610218 6744539.250648383, 242789.08193035412 6744509.4844069425, 242759.17824397003 6744506.490869409, 242756.33254555083 6744536.2571045365))",Other,Conifer,maritime pine,senfseidl
24,2018,"POLYGON ((242519.94860751485 6744482.542232176, 242517.10287576355 6744512.30841679, 242547.00659862265 6744515.302035518, 242549.85232620814 6744485.535844591, 242519.94860751485 6744482.542232176))",Other,Conifer,maritime pine,senfseidl
25,2018,"POLYGON ((242729.27455354785 6744503.497322515, 242669.46716058918 6744497.510200647, 242663.77572209446 6744557.042632093, 242753.4868304776 6744566.023338738, 242756.33254555083 6744536.2571045365, 242726.42885096202 6744533.263551327, 242729.27455354785 6744503.497322515))",Other,Conifer,maritime pine,senfseidl
26,2018,"POLYGON ((242484.3533962897 6744539.080966076, 242514.25712735445 6744542.07460048, 242517.10287576355 6744512.30841679, 242487.19914886518 6744509.314788703, 242484.3533962897 6744539.080966076))",Other,Conifer,maritime pine,senfseidl
